MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
20262202,Oscar Allen,Brisbane,0.5,0.6,0.6,-2.8,-1.1,6.14,0.1,-0.7,1.2,-0.3,33,34,81,5,0,5,60,106,100,0,2,3,10,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,2,0,1,4.1,-3.1,0,3,0
20262203,Bailey Smith,Geelong,6,2.8,5.8,4.2,18.8,14.01,6.3,8.4,9.4,4.7,161,132,82,21,17,38,71.1,748,246,8,5,6,14,0,15,10,5,3,17,5,3,0,1,77,8,8,0,0,0,1,0,0,2,-2,0,7,2
20262203,Oliver Dempsey,Geelong,10.5,5.6,1.3,0.3,17.6,11.31,1.3,13.1,3.8,10.2,114,88,89,12,7,19,57.9,249,96,0,3,2,15,0,4,4,3,3,4,1,2,0,0,0,3,1,0,0,0,4,4,0,13.9,10.1,0,7,1
20262203,Shaun Mannagh,Geelong,0.8,6.2,5.3,4.6,16.9,11.16,-0.8,13.7,4.9,9.2,104,84,80,11,7,18,77.8,371,128,6,1,5,11,0,5,4,4,3,7,1,3,0,0,0,2,1,0,0,0,2,1,1,6.9,0.1,3,10,2
20262203,Zach Merrett,Essendon,4.9,0.7,6.3,4.6,16.4,12.3,7,3.6,7.1,3.1,114,95,84,15,14,29,72.4,401,310,6,5,5,24,4,11,7,3,3,11,4,1,0,0,81,8,8,0,0,0,0,0,0,0,0,0,4,2
20262203,Sam De Koning,Geelong,5.7,2.2,0.2,4.2,12.4,8.46,7.7,2.3,9.7,0.9,84,66,76,4,12,16,81.3,111,87,2,2,3,5,0,10,8,3,2,3,2,2,1,1,65,4,6,53,17,4,1,0,0,3.8,-3.8,0,9,5
20262203,Shannon Neale,Geelong,3.3,1.3,1.2,6.7,12.4,9,-1.4,10.2,5,6.7,96,87,85,5,7,12,75,149,88,2,1,5,13,0,6,5,4,3,2,0,4,0,1,4,1,1,22,10,1,4,3,1,10.7,8.3,0,7,1
20262203,Jhye Clark,Geelong,3.9,1.5,3.4,3,11.9,7.81,0.9,10.5,3.3,6.6,106,95,77,12,8,20,90,298,467,1,1,3,11,1,4,3,3,2,6,3,8,1,1,0,1,1,0,0,0,1,1,0,3.2,2.8,0,3,1
20262203,Archie Perkins,Essendon,3.4,-0.6,6.1,2.8,11.7,6.64,-0.6,10,6.5,3.7,75,54,73,7,4,11,81.8,217,90,5,1,2,11,0,7,5,6,4,2,2,2,1,0,0,0,1,0,0,0,2,2,0,7.6,4.4,0,3,1
20262203,Mark Blicavs,Geelong,1.3,0.7,5.6,3.9,11.5,8.53,5.9,5,10.2,-0.5,100,83,69,9,11,20,55,174,176,6,4,5,13,0,15,11,8,6,0,6,2,1,0,31,7,7,34,8,1,0,0,0,0,0,0,5,4
20262203,Jack Martin,Geelong,0.2,5.3,3.7,1.6,10.9,5.86,3.4,6.2,3.1,7.2,73,58,69,6,4,10,90,162,136,3,2,4,11,0,3,2,3,2,3,2,2,0,0,0,0,0,0,0,0,2,2,0,7.2,4.8,0,5,2
20262203,Tom Stewart,Geelong,-1,3.8,3.2,4.8,10.8,10.34,0.5,9.6,8.2,3.8,103,77,80,15,5,20,90,395,211,1,1,0,6,1,6,2,6,2,5,7,10,5,3,4,1,0,0,0,0,0,0,0,0,0,0,4,1
20262203,Oliver Henry,Geelong,-0.5,3.6,4.7,2.6,10.4,7.62,1.4,8.1,8,3,110,88,82,8,5,13,61.5,253,66,0,2,5,10,0,6,4,6,4,4,1,4,0,1,0,0,0,0,0,0,7,4,2,22,4,1,10,1
20262203,Tanner Bruhn,Geelong,3.8,1,-0.3,5.8,10.3,9.81,1.1,6,4,5.7,77,60,76,7,9,16,87.5,235,237,1,2,3,13,2,6,5,2,1,8,2,3,0,0,4,3,3,0,0,0,1,1,0,3.2,2.8,0,5,2
20262203,Dyson Sharp,Essendon,2.6,2.5,1.8,3.1,10,8.14,5.1,3.3,8.7,-0.6,96,102,80,14,13,27,55.6,357,245,5,4,7,25,0,14,10,7,7,4,7,2,0,0,77,7,9,0,0,0,1,0,0,3,-3,0,2,0
20262203,Tom Atkins,Geelong,4.7,3.2,1.8,0,9.8,11.33,3.1,4.1,6.9,1,79,46,75,7,8,15,66.7,241,269,2,2,2,17,0,9,6,4,3,6,2,1,0,0,69,5,4,0,0,0,0,0,0,0,0,2,5,0
20262203,Peter Wright,Essendon,1.5,-0.4,6.5,1.9,9.5,8.6,0.9,6.3,5.8,0.3,63,48,84,3,6,9,77.8,52,176,0,1,1,4,0,6,2,4,2,1,2,3,1,1,12,2,2,23,16,3,0,0,0,0,0,1,3,2
