Player	TM	TOT	AVG	PS1	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24
Ryley Sanders	WBD	227	38%	12%	-	22%	23%	-	70%	52%	45%	39%	40%	35%	61%	60%	42%	32%	39%	38%	-	8%	-	78%	46%	45%	46%	0%	0%
Rory Lobb	WBD	197	35%	0%	0%	0%	0%	-	11%	41%	6%	-	-	-	87%	77%	42%	24%	16%	21%	-	75%	69%	35%	19%	20%	21%	86%	81%
Joel Freijah	WBD	230	35%	21%	29%	31%	19%	-	63%	33%	3%	16%	23%	35%	26%	17%	39%	32%	26%	46%	-	38%	12%	57%	38%	30%	61%	79%	59%
Louis Emmett	WBD	58	24%	12%	-	-	-	-	-	37%	58%	29%	29%	-	13%	-	-	-	-	-	-	-	-	-	-	0%	-	14%	-
Sam Darcy	WBD	21	11%	-	11%	16%	19%	-	4%	0%	16%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Jordan Croft	WBD	51	10%	6%	6%	-	3%	-	37%	22%	19%	-	-	-	-	23%	0%	0%	10%	0%	-	0%	31%	0%	0%	0%	7%	14%	-
Adam Treloar	WBD	15	10%	-	-	-	-	-	-	-	-	48%	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-	-	-	-
Ryan Gardner	WBD	6	9%	-	-	-	-	-	-	-	-	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19%
Rhylee West	WBD	47	8%	0%	6%	0%	0%	-	7%	7%	16%	6%	3%	0%	0%	0%	0%	0%	3%	0%	-	-	73%	30%	12%	0%	0%	11%	0%
Cooper Hynes	WBD	10	2%	0%	17%	3%	0%	-	-	0%	3%	0%	-	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	10%	0%	0%	0%
Cody Weightman	WBD	5	2%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4%	0%	-	-	0%	12%	0%	0%	-	0%	0%	3%
Luke Kennedy	WBD	2	1%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0%	0%	-	4%	0%	-	-	-	-	0%	3%
Bailey Williams	WCE	431	83%	-	-	-	-	-	-	78%	87%	87%	81%	79%	92%	90%	78%	84%	83%	-	86%	87%	69%	78%	85%	76%	78%	93%	80%
Harley Reid	WCE	548	80%	71%	-	85%	83%	86%	68%	84%	83%	77%	84%	64%	81%	86%	87%	84%	88%	-	83%	80%	69%	67%	88%	80%	83%	78%	80%
Matt Flynn	WCE	122	74%	83%	-	79%	69%	76%	65%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Tim Kelly	WCE	426	73%	-	-	-	60%	72%	74%	81%	78%	43%	84%	64%	77%	79%	70%	68%	83%	-	-	70%	69%	85%	85%	72%	64%	89%	60%
Elliot Yeo	WCE	412	67%	63%	-	26%	51%	28%	-	-	65%	60%	77%	71%	73%	62%	83%	72%	71%	-	62%	70%	73%	89%	69%	80%	69%	74%	88%
Deven Robertson	WCE	96	59%	80%	-	44%	43%	76%	-	50%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Jack Graham	WCE	137	36%	-	-	41%	63%	38%	55%	31%	-	-	-	-	-	-	-	-	-	-	59%	20%	0%	0%	-	40%	3%	41%	72%
Willem Duursma	WCE	197	31%	23%	-	21%	0%	0%	42%	3%	30%	73%	39%	68%	42%	55%	52%	44%	-	-	14%	13%	62%	33%	38%	28%	14%	11%	0%
Oliver Francou	WCE	33	30%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47%	27%	26%	19%	-	-	-	-
Elijah Hewett	WCE	45	27%	-	-	-	-	-	-	22%	30%	23%	10%	-	-	-	-	-	33%	-	45%	-	-	-	-	-	-	-	-
Cooper Duff-Tytler	WCE	82	16%	14%	-	21%	14%	14%	23%	13%	9%	13%	19%	21%	-	-	-	16%	17%	-	14%	-	-	-	-	24%	19%	7%	20%
Brady Hough	WCE	77	11%	-	-	26%	0%	0%	0%	0%	0%	0%	0%	14%	27%	17%	9%	28%	25%	-	38%	0%	0%	0%	0%	0%	67%	7%	0%
Jack Williams	WCE	33	10%	-	-	-	-	-	-	-	-	0%	-	-	8%	10%	22%	-	-	-	-	13%	31%	22%	15%	0%	3%	0%	0%
Archer Reid	WCE	18	8%	3%	-	0%	17%	10%	13%	9%	4%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Tom McCarthy	WCE	47	6%	60%	-	35%	0%	0%	42%	0%	0%	0%	0%	4%	0%	0%	0%	0%	-	-	0%	0%	0%	0%	0%	0%	0%	0%	0%
Finlay Macrae	WCE	1	3%	3%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Milan Murdock	WCE	16	3%	-	-	0%	0%	-	-	-	13%	23%	6%	11%	0%	0%	0%	4%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%
Liam Baker	WCE	10	2%	0%	-	-	0%	0%	0%	28%	0%	0%	0%	4%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	-	-	0%	0%	0%
Bo Allan	WCE	12	2%	-	-	21%	0%	0%	16%	0%	0%	0%	-	-	-	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	-	0%
Harry Schoenberg	WCE	1	1%	0%	-	-	-	0%	3%	0%	0%	-	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
