Player	TM	TOT	AVG	PS1	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24
Oliver Hollands	CAR	4	1%	0%	6%	0%	-	0%	0%	0%	7%	-	0%	0%	0%	-	-	-	-	-	-	0%	0%	-	-	-	-	-	0%
Brodie Kemp	CAR	6	1%	0%	0%	0%	-	0%	7%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	14%	0%	0%	0%	0%	0%
Oliver Florent	CAR	1	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	4%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
Nick Daicos	COL	499	80%	-	71%	74%	-	83%	-	88%	86%	78%	90%	87%	46%	72%	84%	78%	-	90%	83%	79%	83%	82%	80%	82%	92%	90%	51%
Darcy Cameron	COL	477	72%	82%	83%	93%	-	42%	52%	88%	25%	34%	40%	37%	-	93%	90%	89%	-	81%	87%	82%	86%	89%	73%	86%	83%	80%	65%
Edward Allan	COL	311	54%	32%	0%	4%	-	-	13%	-	0%	-	-	-	42%	34%	42%	85%	-	81%	67%	82%	90%	68%	83%	89%	78%	70%	74%
Oscar Steene	COL	125	49%	18%	-	-	-	58%	48%	13%	75%	66%	60%	63%	42%	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Jordan De Goey	COL	297	49%	-	29%	19%	-	71%	48%	0%	-	41%	60%	57%	96%	79%	52%	59%	-	57%	50%	44%	69%	29%	10%	61%	-	40%	58%
Scott Pendlebury	COL	195	42%	-	13%	52%	-	38%	-	75%	75%	63%	-	50%	-	62%	35%	52%	-	-	50%	-	0%	46%	47%	25%	-	30%	0%
Ned Long	COL	255	39%	71%	54%	59%	-	33%	71%	13%	46%	-	67%	10%	4%	3%	3%	-	-	24%	33%	50%	38%	43%	47%	18%	69%	40%	56%
Jack Crisp	COL	149	23%	-	4%	37%	-	8%	29%	31%	21%	38%	17%	33%	75%	34%	26%	11%	-	29%	7%	26%	17%	18%	30%	4%	14%	0%	19%
Beau McCreery	COL	138	20%	50%	38%	11%	-	38%	52%	6%	39%	25%	-	23%	4%	3%	23%	15%	-	19%	7%	6%	3%	7%	0%	7%	14%	27%	49%
Tyan Prindable	COL	5	18%	18%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Angus Anderson	COL	82	18%	-	-	-	-	-	-	50%	29%	47%	53%	20%	29%	-	10%	0%	-	-	-	12%	0%	7%	7%	4%	25%	3%	0%
Daniel McStay	COL	67	9%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	21%	3%	6%	11%	-	19%	13%	18%	14%	11%	23%	14%	17%	20%	28%
Harry Perryman	COL	25	6%	14%	63%	0%	-	13%	0%	0%	0%	0%	10%	-	-	-	-	0%	-	0%	0%	0%	0%	0%	0%	0%	-	-	-
Josh Daicos	COL	45	6%	7%	8%	33%	-	0%	42%	0%	4%	0%	3%	20%	0%	10%	3%	0%	-	0%	3%	0%	0%	0%	0%	11%	8%	0%	0%
Lachlan Sullivan	COL	5	6%	18%	-	-	-	-	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0%	-	-
Jack Buller	COL	15	6%	0%	17%	7%	-	-	-	-	-	-	0%	0%	38%	-	-	0%	-	0%	0%	0%	0%	-	-	-	-	-	-
Patrick Lipinski	COL	28	5%	61%	4%	0%	-	4%	19%	0%	0%	0%	0%	0%	-	0%	10%	0%	-	0%	0%	0%	0%	0%	0%	0%	-	-	-
Steele Sidebottom	COL	23	5%	-	17%	11%	-	0%	26%	25%	-	6%	0%	0%	0%	0%	6%	-	-	0%	0%	0%	0%	0%	0%	0%	0%	-	0%
Dan Houston	COL	9	1%	29%	0%	0%	-	4%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
Lachie Schultz	COL	6	1%	0%	0%	0%	-	8%	0%	6%	0%	3%	0%	0%	0%	0%	6%	0%	-	0%	0%	0%	0%	-	-	0%	0%	0%	0%
Jamie Elliott	COL	2	1%	-	0%	0%	-	0%	0%	6%	0%	0%	0%	0%	4%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-
Darcy Moore	COL	1	1%	-	-	-	-	0%	-	-	-	-	0%	0%	-	3%	-	-	-	-	-	-	-	-	-	-	-	-	-
Billy Frampton	COL	1	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	3%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
Nick Bryan	ESS	254	72%	-	-	-	-	-	-	-	-	-	-	56%	54%	67%	87%	71%	74%	-	83%	78%	82%	73%	-	89%	-	61%	59%
Darcy Parish	ESS	281	65%	72%	-	54%	53%	68%	67%	71%	81%	69%	-	69%	65%	90%	65%	-	-	-	65%	44%	39%	-	-	-	-	-	-
Will Setterfield	ESS	184	60%	-	-	-	-	-	-	-	-	-	-	-	0%	-	30%	79%	91%	-	52%	19%	-	-	79%	75%	77%	84%	74%
Elijah Tsatas	ESS	100	59%	-	-	-	-	-	-	61%	65%	44%	-	-	-	-	74%	67%	43%	-	-	-	-	-	-	-	-	-	-
Sam Durham	ESS	342	56%	69%	-	43%	65%	76%	33%	0%	11%	59%	84%	78%	81%	5%	-	75%	78%	-	74%	81%	64%	82%	57%	69%	0%	-	-
Vigo Visentini	ESS	49	56%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	88%	39%	41%
Zach Merrett	ESS	390	55%	34%	-	68%	71%	40%	93%	45%	43%	50%	81%	63%	50%	81%	70%	4%	43%	-	4%	33%	21%	59%	82%	81%	81%	68%	56%
Jye Caldwell	ESS	282	52%	66%	-	70%	79%	72%	70%	45%	57%	25%	41%	-	54%	14%	-	-	-	-	30%	33%	70%	73%	-	-	58%	61%	26%
Lachlan Blakiston	ESS	210	39%	86%	-	84%	85%	72%	52%	26%	22%	53%	16%	0%	0%	33%	0%	29%	22%	-	17%	-	18%	-	89%	-	-	-	-
Sullivan Robey	ESS	137	36%	-	-	-	-	-	-	0%	0%	0%	19%	41%	50%	71%	61%	75%	43%	-	22%	26%	48%	45%	32%	-	-	-	-
Dyson Sharp	ESS	169	34%	3%	-	8%	6%	-	-	-	-	0%	76%	50%	-	-	-	-	0%	-	52%	30%	24%	18%	25%	36%	77%	81%	65%
Peter Wright	ESS	172	29%	10%	-	16%	15%	28%	44%	74%	78%	47%	84%	44%	46%	-	-	-	-	-	-	0%	0%	27%	7%	11%	12%	0%	0%
Andrew McGrath	ESS	81	12%	0%	-	0%	0%	0%	0%	77%	43%	41%	0%	0%	0%	0%	-	-	-	-	0%	0%	0%	0%	0%	3%	8%	0%	74%
Isaac Kako	ESS	34	9%	-	-	-	0%	44%	37%	0%	0%	0%	-	-	-	-	-	-	-	-	0%	0%	9%	18%	11%	0%	0%	3%	6%
Archie Roberts	ESS	53	8%	55%	-	57%	26%	0%	0%	0%	0%	0%	0%	0%	0%	33%	0%	0%	0%	-	-	-	0%	0%	0%	0%	0%	0%	0%
Ben McKay	ESS	11	3%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	-	-	0%	13%	0%	4%	-	0%	22%	-	-	4%	-	-	-	-
Mason Redman	ESS	13	2%	0%	-	0%	0%	-	-	-	-	-	-	0%	0%	0%	-	0%	0%	-	0%	0%	0%	0%	0%	36%	0%	0%	0%
Nate Caddy	ESS	13	2%	0%	-	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	24%	5%	14%	0%	0%	0%	0%
Archer Day-Wicks	ESS	13	2%	-	-	-	-	0%	0%	0%	0%	13%	0%	0%	0%	0%	0%	0%	0%	-	0%	33%	0%	0%	0%	0%	0%	0%	0%
Archer May	ESS	2	1%	3%	-	0%	-	0%	4%	0%	0%	0%	-	0%	0%	0%	0%	-	-	-	-	-	-	-	-	-	-	-	-
Jade Gresham	ESS	1	1%	-	-	-	-	0%	0%	0%	0%	-	0%	-	-	5%	0%	-	-	-	-	-	-	-	-	-	-	-	-
Angus Clarke	ESS	1	0%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0%	0%	0%	0%	-	3%	0%
Andrew Brayshaw	FRE	508	75%	60%	-	82%	61%	67%	69%	75%	83%	67%	80%	78%	73%	83%	78%	84%	-	75%	83%	82%	75%	79%	77%	55%	76%	82%	71%
Caleb Serong	FRE	419	72%	56%	-	68%	74%	81%	73%	88%	87%	61%	74%	74%	65%	-	-	-	-	53%	61%	70%	86%	72%	65%	75%	66%	79%	79%
Luke Jackson	FRE	471	69%	68%	-	65%	65%	52%	54%	81%	70%	76%	77%	74%	62%	80%	67%	74%	-	75%	67%	61%	79%	72%	65%	75%	79%	79%	53%
Shai Bolton	FRE	385	61%	40%	-	26%	71%	71%	65%	81%	57%	55%	57%	56%	77%	60%	74%	68%	-	50%	72%	55%	61%	-	62%	65%	66%	58%	50%
Hayden Young	FRE	219	50%	64%	-	47%	-	-	-	-	48%	58%	51%	59%	-	-	-	55%	-	41%	39%	30%	-	48%	-	60%	42%	58%	44%
Sean Darcy	FRE	80	44%	-	-	47%	45%	62%	54%	25%	-	-	-	-	-	-	-	-	-	-	33%	39%	-	-	-	-	-	-	-
Matthew Johnson	FRE	224	35%	32%	-	18%	26%	19%	31%	19%	22%	30%	20%	22%	54%	80%	70%	-	-	22%	17%	18%	61%	52%	65%	25%	24%	18%	50%
Mason Cox	FRE	142	29%	48%	-	-	-	-	-	-	30%	24%	23%	26%	38%	20%	33%	26%	-	25%	-	-	21%	28%	35%	25%	21%	21%	47%
Murphy Reid	FRE	160	25%	28%	-	41%	13%	14%	27%	19%	0%	30%	17%	11%	27%	40%	44%	32%	-	59%	28%	33%	18%	21%	8%	20%	26%	-	-
Neil Erasmus	FRE	73	11%	4%	-	6%	45%	33%	27%	13%	4%	0%	0%	0%	0%	17%	26%	35%	-	0%	0%	0%	0%	28%	23%	0%	0%	0%	6%
Jaeger O'Meara	FRE	6	3%	0%	-	-	-	0%	0%	0%	-	-	-	-	-	-	-	19%	-	-	-	-	0%	0%	-	-	-	-	-
Nathan O'Driscoll	FRE	14	3%	-	-	0%	0%	-	-	-	-	-	-	-	4%	17%	7%	6%	-	0%	0%	12%	0%	0%	0%	0%	0%	0%	0%
Sam Switkowski	FRE	3	0%	-	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	3%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	6%	-
Noah Anderson	GCS	549	81%	68%	73%	74%	75%	-	88%	81%	-	93%	78%	84%	90%	91%	-	96%	74%	88%	89%	82%	69%	78%	83%	75%	76%	75%	83%
Matt Rowell	GCS	420	78%	-	-	-	-	-	76%	96%	86%	86%	-	-	79%	89%	-	57%	81%	79%	56%	62%	52%	74%	86%	89%	88%	88%	86%
Ned Moyle	GCS	340	70%	27%	-	-	-	-	-	-	-	-	78%	84%	34%	40%	-	61%	93%	59%	56%	82%	79%	78%	83%	89%	84%	96%	72%
Jarrod Witts	GCS	289	65%	62%	85%	88%	91%	-	85%	63%	78%	83%	-	-	66%	60%	-	39%	-	41%	44%	-	-	-	-	-	-	-	28%
Christian Petracca	GCS	361	58%	73%	58%	68%	53%	-	-	-	70%	76%	78%	84%	79%	74%	-	71%	70%	56%	50%	24%	31%	61%	54%	14%	48%	21%	-
Alex Davies	GCS	95	46%	57%	61%	21%	31%	-	-	30%	-	-	57%	64%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Touk Miller	GCS	313	44%	14%	9%	24%	13%	-	39%	41%	32%	7%	65%	40%	52%	29%	-	25%	59%	44%	22%	85%	21%	87%	77%	86%	72%	75%	48%
Beau Addinsall	GCS	64	24%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21%	33%	47%	21%	0%	0%	33%	-	25%	38%
Wil Powell	GCS	156	22%	57%	76%	82%	75%	-	42%	0%	65%	0%	0%	0%	0%	0%	-	0%	-	-	0%	0%	69%	0%	0%	0%	0%	0%	-
Will Graham	GCS	75	19%	14%	15%	32%	19%	-	55%	52%	8%	17%	0%	16%	0%	-	-	14%	-	-	-	-	0%	-	-	-	-	-	-
Bailey Humphrey	GCS	91	15%	16%	9%	-	38%	-	-	-	38%	21%	22%	12%	0%	17%	-	36%	4%	3%	11%	0%	14%	0%	0%	3%	8%	17%	38%
Nick Holman	GCS	9	7%	-	-	-	-	-	-	-	-	-	-	-	0%	0%	-	-	-	0%	39%	0%	0%	-	-	-	-	-	7%
Mac Andrew	GCS	39	6%	0%	0%	0%	0%	-	0%	37%	22%	17%	17%	16%	0%	0%	-	0%	7%	0%	0%	0%	0%	0%	17%	0%	0%	0%	0%
Ethan Read	GCS	27	6%	-	15%	12%	6%	-	0%	0%	0%	0%	4%	0%	-	-	-	-	-	-	-	0%	21%	-	-	11%	16%	4%	0%
Jed Walter	GCS	20	3%	11%	-	-	-	-	15%	0%	0%	0%	-	-	0%	0%	-	0%	0%	0%	0%	18%	0%	22%	0%	0%	0%	0%	0%
Jai Murray	GCS	5	2%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0%	0%	6%	0%	0%	10%	0%	0%	0%	-	-	-
Leonardo Lombard	GCS	9	1%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	11%	0%	0%	0%	14%	0%	0%	0%	8%	0%	0%
Lachie Weller	GCS	1	0%	3%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	-	-	0%	-	-	-	-	-	-	-	-	-	-	-
