Fixture	Venue	Time
Essendon vs. Adelaide Crows	Marvel Stadium	
Gold Coast Suns vs. Melbourne	People First Stadium	
Hawthorn vs. North Melbourne	UTAS Stadium	
Richmond vs. West Coast Eagles	MCG	
St Kilda vs. Sydney Swans	Marvel Stadium	
Port Adelaide vs. GWS Giants	Adelaide Oval	
Fremantle vs. Western Bulldogs	Optus Stadium	
Round 22		
Brisbane Lions vs. Hawthorn	Gabba	TBD
Geelong Cats vs. Essendon	GMHBA Stadium	
GWS Giants vs. Gold Coast Suns	Manuka Oval	
Melbourne vs. Fremantle	MCG	
St Kilda vs. Carlton	Marvel Stadium	
Sydney Swans vs. Port Adelaide	SCG	
Western Bulldogs vs. North Melbourne	Marvel Stadium	
Adelaide Crows vs. Richmond	Adelaide Oval	
West Coast Eagles vs. Collingwood	Optus Stadium	
Round 23		
Brisbane Lions vs. Gold Coast Suns	Gabba	TBD
Essendon vs. Sydney Swans	MCG	
GWS Giants vs. West Coast Eagles	ENGIE Stadium	
Hawthorn vs. Collingwood	MCG	
North Melbourne vs. Geelong Cats	Marvel Stadium	
Richmond vs. St Kilda	MCG	
Western Bulldogs vs. Carlton	Marvel Stadium	
Port Adelaide vs. Melbourne	Adelaide Oval	
Fremantle vs. Adelaide Crows	Optus Stadium	
Round 24		
Collingwood vs. Brisbane Lions	MCG	TBD
Carlton vs. Fremantle	Marvel Stadium	
Essendon vs. Port Adelaide	Marvel Stadium	
Geelong Cats vs. Richmond	GMHBA Stadium	
Melbourne vs. Western Bulldogs	MCG	
St Kilda vs. Gold Coast Suns	Marvel Stadium	
Sydney Swans vs. North Melbourne	SCG	
Adelaide Crows vs. GWS Giants	Adelaide Oval	
West Coast Eagles vs. Hawthorn	Optus Stadium	
